Line,Subsystem_ID,Subsystem_Name,Digikey_PN,MFR,MFR_PN,Description,Qty,Unit_Price_1000,Line_Total,Leadtime_Weeks,ROHS,Notes
1,SS-ACTUATOR,Braille Actuator Array,TBD-PIEZO-01,TBD,TBD-PIEZO-2MM,"Bimorph piezoelectric actuator 2mm width × 28mm length cantilever, 0.7mm stroke, 100VDC nominal drive",192,2.00,384.00,12,Y,"Custom OEM $2.00 @ 1K+ (12-week lead, MOQ 1000). NO COTS available. Critical width ≤2.3mm (from 2.5mm pitch - 1.5mm dot ÷ 2). 28mm length for 0.7mm stroke @ 100V."
2,SS-CONTROL,Main Control Unit (MCU),497-14367-ND,STMicro,STM32F407VGT6,"ARM Cortex-M4 168MHz, 1MB Flash, 192KB RAM, 140 GPIO",1,7.20,7.20,12,Y,"Main MCU, check stock (long leadtime)"
3,SS-IO-EXPAND,I/O Expander Array,MCP23017-E/SP-ND,Microchip,MCP23017-E/SP,"16-bit I2C I/O expander, 1.6MHz",4,0.95,3.80,6,Y,Also available in SOIC/QFN for SMT
4,SS-ACTUATOR-DRIVER,Actuator High-Voltage Driver Array (Discrete MOSFET),TBD-HV-DRIVER,Discrete,MOSFET-8CH-MODULE,"High-voltage driver module: 8× MOSFETs (STD14NM60N 600V) + 4× gate drivers (TC4427) + support components",24,13.00,312.00,8,Y,"NO integrated 8-channel 100V driver exists. Discrete solution: 8× STD14NM60N MOSFETs ($0.65 ea) + 4× TC4427 dual gate drivers ($1.50 ea) + passives (~$2) = $13/module. 192 actuators ÷ 8 = 24 modules needed."
5,SS-USER-IO,User Interface Buttons,CKN12221-ND,C&K,KMR221NGLFS,"Tactile switch, 160gf, 1M+ cycles",2,0.18,0.36,2,Y,4.5×4.5mm footprint
6,SS-PCB,Main PCB (4-layer),CUSTOM-PCB-01,PCBWay,PCB-4L-200x100,"4-layer PCB 200×100mm, ENIG finish",1,12.00,12.00,3,Y,"Quote for qty 100 (pilot), 1.6mm thick"
7,SS-ENCLOSURE,Mechanical Enclosure,CUSTOM-ENCL-01,Shapeways,3DP-SLS-NYLON,"3D print SLS nylon, natural finish",1,25.00,25.00,2,Y,"Pilot only, ~200×100×25mm, switch to injection mold for production"
8,SS-EMI-BULK-CAP,EMI Bulk Capacitor Array,493-2203-ND,Nichicon,UVR1H102MHD,Electrolytic capacitor 1000µF 50V 20% radial,24,0.08,1.92,2,Y,"Bulk cap for driver IC power rail filtering (EMI suppression, inductive kickback energy absorption). Place one per ULN2803A IC (24 total for ARCH_SOL_ECO, 3 ICs; varies by architecture). NFR-EMI-001 compliance."
9,SS-EMI-BYPASS-CAP,EMI Bypass Capacitor Array,399-4151-1-ND,Kemet,C0805C104K5RACTU,Ceramic capacitor 100nF 50V X7R 0805,24,0.01,0.19,2,Y,"Ceramic bypass for driver IC (EMI suppression, high-frequency decoupling). Place one per ULN2803A IC (24 total for ARCH_PIEZO_ECO/DLX, 3 for ARCH_SOL_ECO). NFR-EMI-001 compliance."
10,SS-COMM-BLE,BLE 5.0 Communication Module,1597-MDBT50Q-1MV2-ND,Raytac,MDBT50Q-1MV2,"nRF52840 module, BLE 5.0, pre-certified FCC/CE",1,10.50,10.50,10,Y,Pre-cert FCC ID: 2AF8Q-MDBT50Q (saves $20K cert)
11,SS-POWER-LIION-CELL,Li-ion Cell (18650),TBD-18650-01,TBD,TBD-18650-2500,18650 Li-ion cell 2500mAh 3.7V nominal,1,4.00,4.00,8,Y,"Need UL listed pack, check lead time"
12,SS-POWER-LIION-CHARGER,Li-ion Charger IC,296-38713-1-ND,TI,BQ24075RGTT,"Li-ion charger IC, USB input, 1.5A",1,2.50,2.50,4,Y,USB-C charging
13,SS-POWER-LIION-PROTECTION,Li-ion Protection Circuit,TBD-PROTECTION-01,TBD,TBD-BMS-1S,"1S Li-ion protection IC, overcharge/discharge",1,1.20,1.20,4,Y,Battery safety circuit
14,SS-POWER-LIION-GAUGE,Fuel Gauge IC,296-41985-1-ND,TI,BQ27441DRZT-G1A,"Fuel gauge IC, I2C, SOC estimation",1,2.00,2.00,6,Y,Battery % indicator
15,SS-POWER-LIION-BOOST-100V,HV Boost Converter (3.7V→100V),TBD-HV-BOOST,TBD,TBD-BOOST-100V,"Boost conv 3.7V→100V for piezo drive from Li-ion (capacitive load)",1,6.50,6.50,10,Y,"TPS61088 maxes at ~40V! Need specialized HV boost (e.g., TPS61391 or flyback topology). Battery-powered 100V generation adds efficiency constraints. COST ESTIMATE $6.50."
---,---,---,---,---,---,SUBTOTAL,---,---,773.17,---,---,---
---,---,---,---,---,---,Misc 15%,---,---,115.98,---,---,"Passives, connectors"
---,---,---,---,---,---,TOTAL,---,---,889.15,---,---,---
